Variable	Commentaire	Date de départ	Heure de départ	Valeur
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:04:57,099	FAUX
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:04:58,091	VRAI
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:04:58,091	FAUX
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:04:58,091	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:04:58,809	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:05:05,601	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:06,089	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:06,089	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:06,089	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:05:06,089	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:06,210	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:06,210	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:06,584	VRAI
FERMER	Fermer la pince	04/06/2021	17:05:06,584	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:06,584	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:06,584	FAUX
fermee	Pince fermée.	04/06/2021	17:05:06,707	VRAI
ouvert	Pince ouverte.	04/06/2021	17:05:06,707	FAUX
FERMER	Fermer la pince	04/06/2021	17:05:06,707	FAUX
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:06,707	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:06,707	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:06,707	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:05:07,199	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:07,199	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:07,325	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:05:07,445	FAUX
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:07,691	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:07,815	VRAI
