Variable	Commentaire	Date de départ	Heure de départ	Valeur
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:05:45,176	VRAI
x_inter	Pince en position glissière intermédiaire sur l’axe X.	04/06/2021	17:05:45,298	FAUX
gliss1	Présence d’un 6packs sur la butée de la glissière intermédiaire	04/06/2021	17:05:46,007	FAUX
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:05:46,132	VRAI
x_conv	Pince en position convoyeur d’approvisionnement sur l’axe X.	04/06/2021	17:05:46,594	VRAI
gliss_int	Glissière intermédiaire pleine	04/06/2021	17:05:46,594	FAUX
XCONV	Mvt vers le convoyeur d’approvisionnement (axe X)	04/06/2021	17:05:46,594	FAUX
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:05:46,594	VRAI
conv_debut	présence d'un 6packs au début du convoyeur d'approvisionnement	04/06/2021	17:05:47,400	FAUX
conv_fin	présence d'un 6packs à la fin du convyeur d'approvisionnement	04/06/2021	17:05:54,108	VRAI
ZDESC	Descendre la pince (axe Z)	04/06/2021	17:05:54,594	VRAI
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:54,594	VRAI
ZFREIN	Déverrouiller le frein vertical (axe Z)	04/06/2021	17:05:54,594	VRAI
CONVIE	Rotation du convoyeur d'approvisionnement	04/06/2021	17:05:54,594	FAUX
z_haut	Pince en position haute sur l'axe Z	04/06/2021	17:05:54,718	FAUX
ZMONT	Monter la pince (axe Z)	04/06/2021	17:05:54,718	FAUX
z_bas	Pince en position basse sur l'axe Z	04/06/2021	17:05:55,090	VRAI
FERMER	Fermer la pince	04/06/2021	17:05:55,090	VRAI
