Date,Time,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
16/04/2021,13:42:09,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0000110001101001,1000010000000,3177,4224
16/04/2021,13:42:09,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0100110001101001,1001010000000,19561,4736
16/04/2021,13:42:09,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0100010001101001,1001010000000,17513,4736
16/04/2021,13:42:09,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0100010001101001,1001000000000,17513,4608
16/04/2021,13:42:10,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0100010001101001,1001000000000,17513,4608
16/04/2021,13:42:10,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0100010001101001,1001000000000,17513,4608
16/04/2021,13:42:10,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0100010001101001,1001000000000,17513,4608
16/04/2021,13:42:10,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0100010001101001,1001000000000,17513,4608
16/04/2021,13:42:10,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0111010001101001,0100100000000,29801,2304
16/04/2021,13:42:10,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0011010001101001,0100100000000,13417,2304
16/04/2021,13:42:10,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0010010001101001,0100100000000,9321,2304
16/04/2021,13:42:10,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0010010001101001,0100100000000,9321,2304
16/04/2021,13:42:10,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0010010001101001,0100100000000,9321,2304
16/04/2021,13:42:11,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0010010001101001,0100100000000,9321,2304
16/04/2021,13:42:11,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1010010001101001,0100110000000,42089,2432
16/04/2021,13:42:11,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1010010001101001,0100110000000,42089,2432
16/04/2021,13:42:11,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1010100000101001,1001010010000,43049,4752
16/04/2021,13:42:11,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0000100000101001,1001010010000,2089,4752
16/04/2021,13:42:11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0000000000101001,1001010010000,41,4752
16/04/2021,13:42:11,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0000010001101001,1001010010000,1129,4752
16/04/2021,13:42:11,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0000010001101001,1001010010000,1129,4752
16/04/2021,13:42:11,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0100010001101001,1001010010000,17513,4752
16/04/2021,13:42:12,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0100010001101001,1001010010000,17513,4752
16/04/2021,13:42:12,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0100010001101001,1001000010000,17513,4624
16/04/2021,13:42:12,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0100010001101001,1001000010000,17513,4624
16/04/2021,13:42:12,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0111010001101001,0100100010000,29801,2320
16/04/2021,13:42:12,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0011010001101001,0100100010000,13417,2320
16/04/2021,13:42:12,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0010010001101001,0100100010000,9321,2320
16/04/2021,13:42:12,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0010010001101001,0100100010000,9321,2320
16/04/2021,13:42:12,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0010010001101001,0100100010000,9321,2320
16/04/2021,13:42:12,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,0100110010000,42089,2448
16/04/2021,13:42:13,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,0100110010000,42089,2448
16/04/2021,13:42:13,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,0100110010000,42089,2448
16/04/2021,13:42:13,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000100000101001,1001010010000,34857,4752
16/04/2021,13:42:13,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0000100000101001,1001010010000,2089,4752
16/04/2021,13:42:13,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0000010001101001,1001010010000,1129,4752
16/04/2021,13:42:13,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0000010001101001,1001010010000,1129,4752
16/04/2021,13:42:13,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0000010001101001,1001010010000,1129,4752
16/04/2021,13:42:13,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0100010001101001,1001010010000,17513,4752
16/04/2021,13:42:13,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0100010001101001,1001010010000,17513,4752
16/04/2021,13:42:14,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0100010001101001,1001000010000,17513,4624
16/04/2021,13:42:14,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0111010001101001,0100100010000,29801,2320
16/04/2021,13:42:14,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0010010001101001,0100100010000,9321,2320
16/04/2021,13:42:14,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0010010001101001,0100100010000,9321,2320
16/04/2021,13:42:14,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0010010001101001,0100100010000,9321,2320
16/04/2021,13:42:14,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0010010001101001,0100100010000,9321,2320
16/04/2021,13:42:14,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,0100110010000,42089,2448
16/04/2021,13:42:14,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,0100110010000,42089,2448
16/04/2021,13:42:14,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,0100110010000,42089,2448
16/04/2021,13:42:14,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000100000101001,0001010010000,34857,656
16/04/2021,13:42:15,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000000101001,0001010010000,32809,656
16/04/2021,13:42:15,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000001101001,0001010010000,32873,656
16/04/2021,13:42:15,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000001101001,0001010010000,32873,656
16/04/2021,13:42:15,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000001101001,0001010010000,32873,656
16/04/2021,13:42:15,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000001101001,0001010010000,32873,656
