Temps,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
[datetime.datetime(2021; 04; 16; 13; 42; 09; 030000)],0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100001101001,1.00001e+12,2153,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 040000)],0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100001101001,1.00001e+12,2153,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 050000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110001101001,1.00001e+12,3177,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 060000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110001101001,1.00001e+12,3177,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 070000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110001101001,1.00001e+12,3177,4224,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 080000)],0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,100110001101001,1.00101e+12,19561,4736,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 090000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,100010001101001,1.00101e+12,17513,4736,
[datetime.datetime(2021; 04; 16; 13; 42; 09; 100000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100010001101001,1.001e+12,17513,4608,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 010000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100010001101001,1.001e+12,17513,4608,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 020000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100010001101001,1.001e+12,17513,4608,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 030000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100010001101001,1.001e+12,17513,4608,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 040000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100010001101001,1.001e+12,17513,4608,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 050000)],1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,111010001101001,1.001e+11,29801,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 060000)],1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11010001101001,1.001e+11,13417,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 070000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10010001101001,1.001e+11,9321,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 080000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10010001101001,1.001e+11,9321,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 10; 090000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10010001101001,1.001e+11,9321,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 010000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10010001101001,1.001e+11,9321,2304,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 020000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1010010001101001,1.0011e+11,42089,2432,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 030000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1010010001101001,1.0011e+11,42089,2432,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 040000)],1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1010100000101001,1001010010000,43049,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 050000)],0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,100000101001,1001010010000,2089,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 060000)],0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,101001,1001010010000,41,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 070000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10001101001,1001010010000,1129,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 080000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10001101001,1001010010000,1129,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 11; 090000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,100010001101001,1001010010000,17513,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 12; 010000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,100010001101001,1001010010000,17513,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 12; 020000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100010001101001,1001000010000,17513,4624,
[datetime.datetime(2021; 04; 16; 13; 42; 12; 030000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100010001101001,1001000010000,17513,4624,
[datetime.datetime(2021; 04; 16; 13; 42; 12; 040000)],1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,111010001101001,100100010000,29801,2320,
[datetime.datetime(2021; 04; 16; 13; 42; 12; 050000)],1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,11010001101001,100100010000,13417,2320,
[datetime.datetime(2021; 04; 16; 13; 42; 12; 060000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,10010001101001,100100010000,9321,2320,
[datetime.datetime(2021; 04; 16; 13; 42; 12; 070000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,10010001101001,100100010000,9321,2320,
[datetime.datetime(2021; 04; 16; 13; 42; 12; 080000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,10010001101001,100100010000,9321,2320,
[datetime.datetime(2021; 04; 16; 13; 42; 12; 090000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,100110010000,42089,2448,
[datetime.datetime(2021; 04; 16; 13; 42; 13; 010000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,100110010000,42089,2448,
[datetime.datetime(2021; 04; 16; 13; 42; 13; 020000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,100110010000,42089,2448,
[datetime.datetime(2021; 04; 16; 13; 42; 13; 030000)],0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000100000101001,1001010010000,34857,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 13; 040000)],0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,100000101001,1001010010000,2089,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 13; 050000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10001101001,1001010010000,1129,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 13; 060000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10001101001,1001010010000,1129,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 13; 070000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10001101001,1001010010000,1129,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 13; 080000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,100010001101001,1001010010000,17513,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 13; 090000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,100010001101001,1001010010000,17513,4752,
[datetime.datetime(2021; 04; 16; 13; 42; 14; 010000)],0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,100010001101001,1001000010000,17513,4624,
[datetime.datetime(2021; 04; 16; 13; 42; 14; 020000)],1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,111010001101001,100100010000,29801,2320,
[datetime.datetime(2021; 04; 16; 13; 42; 14; 030000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,10010001101001,100100010000,9321,2320,
[datetime.datetime(2021; 04; 16; 13; 42; 14; 040000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,10010001101001,100100010000,9321,2320,
[datetime.datetime(2021; 04; 16; 13; 42; 14; 050000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,10010001101001,100100010000,9321,2320,
[datetime.datetime(2021; 04; 16; 13; 42; 14; 060000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,10010001101001,100100010000,9321,2320,
[datetime.datetime(2021; 04; 16; 13; 42; 14; 070000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,100110010000,42089,2448,
[datetime.datetime(2021; 04; 16; 13; 42; 14; 080000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,100110010000,42089,2448,
[datetime.datetime(2021; 04; 16; 13; 42; 14; 090000)],1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1010010001101001,100110010000,42089,2448,
[datetime.datetime(2021; 04; 16; 13; 42; 14; 100000)],0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000100000101001,1010010000,34857,656,
[datetime.datetime(2021; 04; 16; 13; 42; 15; 010000)],0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000000101001,1010010000,32809,656,
[datetime.datetime(2021; 04; 16; 13; 42; 15; 020000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000001101001,1010010000,32873,656,
[datetime.datetime(2021; 04; 16; 13; 42; 15; 030000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000001101001,1010010000,32873,656,
[datetime.datetime(2021; 04; 16; 13; 42; 15; 040000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000001101001,1010010000,32873,656,
[datetime.datetime(2021; 04; 16; 13; 42; 15; 050000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000001101001,1010010000,32873,656,
[datetime.datetime(2021; 04; 16; 13; 42; 15; 060000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000000001101001,1010010000,32873,656,
[datetime.datetime(2021; 04; 16; 13; 42; 15; 070000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1000000001101001,1000010000,32873,528,
[datetime.datetime(2021; 04; 16; 13; 42; 15; 080000)],0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1001000001101001,100010000,36969,272,
[datetime.datetime(2021; 04; 16; 13; 42; 15; 090000)],0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1001000001101001,100010000,36969,272,
[datetime.datetime(2021; 04; 16; 13; 42; 16; 010000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001101001,100010000,32873,272,
[datetime.datetime(2021; 04; 16; 13; 42; 16; 020000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001101001,100010000,32873,272,
[datetime.datetime(2021; 04; 16; 13; 42; 16; 030000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001101001,100010000,32873,272,
[datetime.datetime(2021; 04; 16; 13; 42; 16; 040000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001101001,100010000,32873,272,
[datetime.datetime(2021; 04; 16; 13; 42; 16; 050000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001101001,100010000,32873,272,
[datetime.datetime(2021; 04; 16; 13; 42; 16; 060000)],0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1000000001101001,100010000,32873,272,
[datetime.datetime(2021; 04; 16; 13; 42; 16; 070000)],0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1000100001101001,1000000010000,34921,4112,
[datetime.datetime(2021; 04; 16; 13; 42; 16; 080000)],0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100001001001,1000000010000,2121,4112,
