Temps,cer,c_vt,c_vrm,c_vrc,pm,c_vbb,c_vbn,c_vbr,dconv,fconv,recept,c_bmc,c_bme,vlb,vlh,EJ,VTAS,VTEX,VRM,VRC,VBB,VBN,VBR,CONV,BMC,BME,DVL,PINCES,DEB,FIN,Dword_capteurs,Dword_actionneurs,int_capteurs,int_actionneurs
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000024)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000025)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000026)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000027)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000028)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000029)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 25; 000030)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 26; 000031)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 26; 000032)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 26; 000033)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 26; 000034)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 26; 000035)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 26; 000036)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 26; 000037)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 26; 000038)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 26; 000039)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 27; 000040)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 27; 000041)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 27; 000042)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 27; 000043)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 27; 000044)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
[datetime.datetime(2021; 04; 16; 12; 04; 27; 000045)],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0000000000000000,000000000,0.0,0.0
