RE_Part_conveyor   	2020-08-24 12:59:39.149457
RE_Grab   	2020-08-24 12:59:39.149457
RE_Auto   	2020-08-24 12:59:39.149457
FE_Manual   	2020-08-24 12:59:39.149457
FE_Box_at_place   	2020-08-24 12:59:39.149457
RE_Detected   	2020-08-24 12:59:39.149457
FE_Grab   	2020-08-24 12:59:40.650198
FE_Part_conveyor   	2020-08-24 12:59:40.792648
FE_Part_at_place   	2020-08-24 12:59:40.792648
FE_Detected   	2020-08-24 12:59:40.857609
RE_Detected   	2020-08-24 12:59:43.131681
RE_Grab   	2020-08-24 12:59:43.438002
RE_Part_at_place   	2020-08-24 12:59:43.681851
RE_Part_conveyor   	2020-08-24 12:59:43.697841
FE_Part_conveyor   	2020-08-24 12:59:46.16356
FE_Part_at_place   	2020-08-24 12:59:46.16356
FE_Grab   	2020-08-24 12:59:46.239517
FE_Detected   	2020-08-24 12:59:46.430636
RE_Detected   	2020-08-24 12:59:48.669427
RE_Grab   	2020-08-24 12:59:48.986083
RE_Part_at_place   	2020-08-24 12:59:49.21494
RE_Part_conveyor   	2020-08-24 12:59:49.248919
RE_C_plus   	2020-08-24 12:59:49.504766
FE_C_limit   	2020-08-24 12:59:49.634684
RE_C_limit   	2020-08-24 12:59:50.134375
FE_Grab   	2020-08-24 12:59:51.441681
FE_C_plus   	2020-08-24 12:59:51.441681
FE_C_limit   	2020-08-24 12:59:51.571601
FE_Detected   	2020-08-24 12:59:51.63656
FE_Part_at_place   	2020-08-24 12:59:51.777734
FE_Part_conveyor   	2020-08-24 12:59:51.790716
RE_Box_conveyor   	2020-08-24 12:59:51.985606
RE_C_limit   	2020-08-24 12:59:52.210468
FE_Box_conveyor   	2020-08-24 12:59:54.186184
RE_Box_at_place   	2020-08-24 12:59:54.186184
FE_Box_at_place   	2020-08-24 12:59:54.523973
RE_Detected   	2020-08-24 12:59:56.21887
RE_Grab   	2020-08-24 12:59:56.576248
RE_Part_at_place   	2020-08-24 12:59:56.795442
RE_Part_conveyor   	2020-08-24 12:59:56.812431
FE_Part_at_place   	2020-08-24 12:59:59.311036
FE_Part_conveyor   	2020-08-24 12:59:59.329026
FE_Grab   	2020-08-24 12:59:59.329026
FE_Detected   	2020-08-24 12:59:59.525906
RE_Detected   	2020-08-24 13:00:01.728627
RE_Grab   	2020-08-24 13:00:02.82408
RE_Part_at_place   	2020-08-24 13:00:02.306275
RE_Part_conveyor   	2020-08-24 13:00:02.338256
FE_Part_at_place   	2020-08-24 13:00:04.847142
FE_Part_conveyor   	2020-08-24 13:00:04.864129
FE_Grab   	2020-08-24 13:00:04.864129
FE_Detected   	2020-08-24 13:00:05.59021
RE_Detected   	2020-08-24 13:00:07.304659
RE_Grab   	2020-08-24 13:00:07.62646
RE_Part_at_place   	2020-08-24 13:00:07.85022
RE_Part_conveyor   	2020-08-24 13:00:07.868209
RE_C_plus   	2020-08-24 13:00:08.177018
FE_C_limit   	2020-08-24 13:00:08.290948
RE_C_limit   	2020-08-24 13:00:08.803954
FE_Grab   	2020-08-24 13:00:10.10288
FE_C_plus   	2020-08-24 13:00:10.10288
FE_C_limit   	2020-08-24 13:00:10.226804
FE_Detected   	2020-08-24 13:00:10.291763
FE_Part_conveyor   	2020-08-24 13:00:10.374719
FE_Part_at_place   	2020-08-24 13:00:10.374719
RE_Box_conveyor   	2020-08-24 13:00:10.645549
RE_C_limit   	2020-08-24 13:00:10.86941
FE_Box_conveyor   	2020-08-24 13:00:12.884724
RE_Box_at_place   	2020-08-24 13:00:12.884724
RE_Box_conveyor   	2020-08-24 13:00:13.117218
FE_Box_at_place   	2020-08-24 13:00:13.117218
FE_Box_conveyor   	2020-08-24 13:00:13.133209
RE_Detected   	2020-08-24 13:00:14.862499
RE_Grab   	2020-08-24 13:00:15.219833
RE_Part_at_place   	2020-08-24 13:00:15.441098
RE_Part_conveyor   	2020-08-24 13:00:15.45709
FE_Part_at_place   	2020-08-24 13:00:17.978861
FE_Part_conveyor   	2020-08-24 13:00:17.995851
FE_Grab   	2020-08-24 13:00:18.26832
FE_Detected   	2020-08-24 13:00:18.227708
RE_Detected   	2020-08-24 13:00:20.462913
RE_Grab   	2020-08-24 13:00:20.823522
RE_Part_at_place   	2020-08-24 13:00:21.43386
RE_Part_conveyor   	2020-08-24 13:00:21.77366
FE_Part_conveyor   	2020-08-24 13:00:23.568545
FE_Grab   	2020-08-24 13:00:23.568545
FE_Part_at_place   	2020-08-24 13:00:23.568545
FE_Detected   	2020-08-24 13:00:23.767585
RE_Detected   	2020-08-24 13:00:26.40296
RE_Grab   	2020-08-24 13:00:26.361146
RE_Part_at_place   	2020-08-24 13:00:26.587005
RE_Part_conveyor   	2020-08-24 13:00:26.610991
RE_C_plus   	2020-08-24 13:00:26.88782
FE_C_limit   	2020-08-24 13:00:27.337
RE_C_limit   	2020-08-24 13:00:27.50901
FE_Grab   	2020-08-24 13:00:28.814019
FE_C_plus   	2020-08-24 13:00:28.814019
FE_C_limit   	2020-08-24 13:00:28.931948
FE_Detected   	2020-08-24 13:00:29.12901
FE_Part_at_place   	2020-08-24 13:00:29.172804
FE_Part_conveyor   	2020-08-24 13:00:29.188797
RE_Box_conveyor   	2020-08-24 13:00:29.364693
RE_C_limit   	2020-08-24 13:00:29.58906
RE_Box_at_place   	2020-08-24 13:00:31.517365
FE_Box_conveyor   	2020-08-24 13:00:31.533355
FE_Box_at_place   	2020-08-24 13:00:31.759643
RE_Detected   	2020-08-24 13:00:33.44858
RE_Grab   	2020-08-24 13:00:33.769382
RE_Part_at_place   	2020-08-24 13:00:33.992244
RE_Part_conveyor   	2020-08-24 13:00:34.23224
FE_Part_at_place   	2020-08-24 13:00:36.512282
FE_Part_conveyor   	2020-08-24 13:00:36.53027
FE_Grab   	2020-08-24 13:00:36.53027
FE_Detected   	2020-08-24 13:00:36.724151
RE_Detected   	2020-08-24 13:00:38.925913
RE_Grab   	2020-08-24 13:00:39.262706
RE_Part_at_place   	2020-08-24 13:00:39.476629
RE_Part_conveyor   	2020-08-24 13:00:39.509558
FE_Grab   	2020-08-24 13:00:41.994817
FE_Part_conveyor   	2020-08-24 13:00:42.31794
FE_Part_at_place   	2020-08-24 13:00:42.31794
FE_Detected   	2020-08-24 13:00:42.191698
RE_Detected   	2020-08-24 13:00:44.406543
RE_Grab   	2020-08-24 13:00:44.745333
RE_Part_at_place   	2020-08-24 13:00:44.974192
RE_Part_conveyor   	2020-08-24 13:00:44.99118
RE_C_plus   	2020-08-24 13:00:45.276008
FE_C_limit   	2020-08-24 13:00:45.383942
RE_C_limit   	2020-08-24 13:00:45.893625
FE_Grab   	2020-08-24 13:00:47.231804
FE_C_plus   	2020-08-24 13:00:47.231804
FE_C_limit   	2020-08-24 13:00:47.359233
FE_Detected   	2020-08-24 13:00:47.435017
FE_Part_at_place   	2020-08-24 13:00:47.52796
FE_Part_conveyor   	2020-08-24 13:00:47.543949
RE_Box_conveyor   	2020-08-24 13:00:47.792796
RE_C_limit   	2020-08-24 13:00:48.1666
FE_Box_conveyor   	2020-08-24 13:00:49.982718
RE_Box_at_place   	2020-08-24 13:00:49.982718
RE_Box_conveyor   	2020-08-24 13:00:50.217573
FE_Box_at_place   	2020-08-24 13:00:50.217573
FE_Box_conveyor   	2020-08-24 13:00:50.233562
RE_Detected   	2020-08-24 13:00:51.948285
RE_Grab   	2020-08-24 13:00:52.300069
RE_Part_at_place   	2020-08-24 13:00:52.52193
RE_Part_conveyor   	2020-08-24 13:00:52.541978
FE_Part_at_place   	2020-08-24 13:00:55.35735
FE_Part_conveyor   	2020-08-24 13:00:55.52726
FE_Grab   	2020-08-24 13:00:55.84706
FE_Detected   	2020-08-24 13:00:55.277587
RE_Detected   	2020-08-24 13:00:57.490753
RE_Grab   	2020-08-24 13:00:57.847532
RE_Part_at_place   	2020-08-24 13:00:58.70819
RE_Part_conveyor   	2020-08-24 13:00:58.103801
FE_Grab   	2020-08-24 13:01:00.568099
FE_Part_at_place   	2020-08-24 13:01:00.585088
FE_Part_conveyor   	2020-08-24 13:01:00.602078
FE_Detected   	2020-08-24 13:01:00.753985
RE_Detected   	2020-08-24 13:01:03.719
RE_Grab   	2020-08-24 13:01:03.311088
RE_Part_at_place   	2020-08-24 13:01:03.536867
RE_Part_conveyor   	2020-08-24 13:01:03.568395
RE_C_plus   	2020-08-24 13:01:03.843225
FE_C_limit   	2020-08-24 13:01:03.957155
RE_C_limit   	2020-08-24 13:01:04.467038
FE_Grab   	2020-08-24 13:01:05.794574
FE_C_plus   	2020-08-24 13:01:05.794574
FE_C_limit   	2020-08-24 13:01:05.922495
FE_Detected   	2020-08-24 13:01:05.992453
FE_Part_conveyor   	2020-08-24 13:01:06.98385
FE_Part_at_place   	2020-08-24 13:01:06.98385
RE_Box_conveyor   	2020-08-24 13:01:06.34774
RE_C_limit   	2020-08-24 13:01:06.571051
FE_Box_conveyor   	2020-08-24 13:01:08.536569
RE_Box_at_place   	2020-08-24 13:01:08.536569
FE_Box_at_place   	2020-08-24 13:01:08.807402
RE_Detected   	2020-08-24 13:01:10.546324
RE_Grab   	2020-08-24 13:01:10.882117
RE_Part_at_place   	2020-08-24 13:01:11.121967
RE_Part_conveyor   	2020-08-24 13:01:11.137957
FE_Grab   	2020-08-24 13:01:13.658361
FE_Part_conveyor   	2020-08-24 13:01:13.679292
FE_Part_at_place   	2020-08-24 13:01:13.679292
FE_Detected   	2020-08-24 13:01:13.843191
RE_Detected   	2020-08-24 13:01:16.47703
RE_Grab   	2020-08-24 13:01:16.399484
RE_Part_at_place   	2020-08-24 13:01:16.640336
RE_Part_conveyor   	2020-08-24 13:01:16.655904
FE_Grab   	2020-08-24 13:01:19.165126
FE_Part_at_place   	2020-08-24 13:01:19.181116
FE_Part_conveyor   	2020-08-24 13:01:19.196697
FE_Detected   	2020-08-24 13:01:19.356602
RE_Detected   	2020-08-24 13:01:21.587046
RE_Grab   	2020-08-24 13:01:21.908849
RE_Part_at_place   	2020-08-24 13:01:22.1477
