cas seul collage à 0 de C_plus,-1,-1,1,12,-1,1,12,1,2,316656,1,2,1,10,228857,1,10,1,1,33979,1,1,0,13,385765,0,13,1,13,499691,1,13,0,2,1307306,1,13,0,3,1307306
cas seul collage à 0 de Part_conveyor,-1,-1,1,12,-1,1,12,1,2,316656,1,2,1,10,228857,1,10,1,3,289826,1,3,0,13,129918,0,13,1,13,499691,1,13,0,2,1307306,1,13,0,3,1307306
cas seul et NCT collage à 0 de Detected,-1,-1,1,2,-1,1,2,1,10,228857,1,10,1,1,33979,1,1,1,3,255847,1,3,0,13,129918,0,13,1,13,499691,1,13,0,2,1307306,1,13,0,3,1307306
cas seul collage à 0 de C_limit,-1,-1,1,12,-1,1,12,1,2,316656,1,2,1,10,228857,1,10,1,1,33979,1,1,1,3,255847,1,3,0,13,129918,0,13,0,2,1806997,0,13,0,3,1806997
cas plusieurs collage à 1 de Grab,-1,-1,1,12,-1,1,12,1,2,316656,1,2,1,10,228857,1,10,1,1,33979,1,1,1,3,255847,1,3,0,13,129918,0,13,1,13,499691,1,13,0,3,1307306
cas seul collage à 0 de Part_at_place,-1,-1,1,12,-1,1,12,1,2,316656,1,2,1,1,262836,1,1,1,3,255847,1,3,0,13,129918,0,13,1,13,499691,1,13,0,2,1307306,1,13,0,3,1307306
cas seul collage à 0 de Grab,-1,-1,1,12,-1,1,12,1,10,545513,1,10,1,1,33979,1,1,1,3,255847,1,3,0,13,129918,0,13,1,13,499691,1,13,0,2,1307306,1,13,0,3,1307306
cas seul collage à 1 de C_limit,-1,-1,1,12,-1,1,12,1,2,316656,1,2,1,10,228857,1,10,1,1,33979,1,1,1,3,255847,1,3,1,13,629609,1,13,0,2,1307306,1,13,0,3,1307306
cas seul collage à 0 de Detected,-1,-1,0,13,-1,0,13,0,12,64959,0,12,0,10,141174,0,10,0,1,12982,0,1,1,0,194890,1,0,1,13,224862,1,13,0,0,1975716,1,13,1,11,1975716,0,0,0,11,337789,1,11,0,11,337789,0,11,1,2,2052275,0,11,1,2,2052275,1,2,1,10,219194,1,10,1,1,16989
cas seul collage à 1 de Detected,-1,-1,0,13,-1,0,13,0,10,206133,0,10,0,1,12982,0,1,1,0,194890,1,0,1,13,224862,1,13,0,0,1975716,1,13,1,11,1975716,0,0,0,11,337789,1,11,0,11,337789,0,11,1,12,1694897,1,12,1,2,357378,1,2,1,10,219194,1,10,1,1,16989
cas plusieurs collage à 1 de Box_conveyor,-1,-1,0,13,-1,0,13,0,12,64959,0,12,0,10,141174,0,10,0,1,12982,0,1,1,0,194890,1,0,1,13,224862,1,13,1,11,1975716,1,11,0,11,337789,0,11,1,12,1694897,1,12,1,2,357378,1,2,1,10,219194,1,10,1,1,16989
cas seul et NCT collage à 1 de C_limit,-1,-1,0,12,-1,0,12,0,10,141174,0,10,0,1,12982,0,1,1,0,194890,1,0,1,13,224862,1,13,0,0,1975716,1,13,1,11,1975716,0,0,0,11,337789,1,11,0,11,337789,0,11,1,12,1694897,1,12,1,2,357378,1,2,1,10,219194,1,10,1,1,16989
cas seul collage à 0 de Box_conveyor,-1,-1,0,13,-1,0,13,0,12,64959,0,12,0,10,141174,0,10,0,1,12982,0,1,1,13,419752,1,13,0,0,1975716,1,13,1,11,1975716,0,0,0,11,337789,1,11,0,11,337789,0,11,1,12,1694897,1,12,1,2,357378,1,2,1,10,219194,1,10,1,1,16989
cas seul collage à 1 de Part_conveyor,-1,-1,0,13,-1,0,13,0,12,64959,0,12,0,10,141174,0,10,1,0,207872,1,0,1,13,224862,1,13,0,0,1975716,1,13,1,11,1975716,0,0,0,11,337789,1,11,0,11,337789,0,11,1,12,1694897,1,12,1,2,357378,1,2,1,10,219194,1,10,1,1,16989
cas seul collage à 0 de C_limit,-1,-1,0,13,-1,0,13,0,12,64959,0,12,0,10,141174,0,10,0,1,12982,0,1,1,0,194890,1,0,0,0,2200578,1,0,1,11,2200578,0,0,0,11,337789,1,11,0,11,337789,0,11,1,12,1694897,1,12,1,2,357378,1,2,1,10,219194,1,10,1,1,16989
cas seul collage à 1 de Box_at_place,-1,-1,0,13,-1,0,13,0,12,64959,0,12,0,10,141174,0,10,0,1,12982,0,1,1,0,194890,1,0,1,13,224862,1,13,0,0,1975716,1,13,1,11,1975716,1,11,1,12,2032686,0,0,1,12,2032686,1,12,1,2,357378,1,2,1,10,219194,1,10,1,1,16989
cas seul collage à 0 de Part_at_place,-1,-1,0,13,-1,0,13,0,12,64959,0,12,0,10,141174,0,10,0,1,12982,0,1,1,0,194890,1,0,1,13,224862,1,13,0,0,1975716,1,13,1,11,1975716,0,0,0,11,337789,1,11,0,11,337789,0,11,1,12,1694897,1,12,1,2,357378,1,2,1,1,236183
cas seul collage à 1 de Part_at_place,-1,-1,0,13,-1,0,13,0,12,64959,0,12,0,1,154156,0,1,1,0,194890,1,0,1,13,224862,1,13,0,0,1975716,1,13,1,11,1975716,0,0,0,11,337789,1,11,0,11,337789,0,11,1,12,1694897,1,12,1,2,357378,1,2,1,10,219194,1,10,1,1,16989
cas plusieurs collage à 0 de Box_at_place,-1,-1,0,13,-1,0,13,0,12,64959,0,12,0,10,141174,0,10,0,1,12982,0,1,1,0,194890,1,0,1,13,224862,1,13,0,0,1975716,0,0,0,11,337789,0,11,1,12,1694897,1,12,1,2,357378,1,2,1,10,219194,1,10,1,1,16989
cas seul collage à 0 de Grab,-1,-1,0,13,-1,0,13,0,12,64959,0,12,0,10,141174,0,10,0,1,12982,0,1,1,0,194890,1,0,1,13,224862,1,13,0,0,1975716,1,13,1,11,1975716,0,0,0,11,337789,1,11,0,11,337789,0,11,1,12,1694897,1,12,1,10,576572,1,10,1,1,16989
cas seul collage à 0 de Detected,-1,-1,0,10,-1,0,10,0,1,17990,0,10,0,2,17990,0,1,0,12,196880,0,2,0,12,196880,0,12,1,2,3298174,0,12,1,2,3298174,1,2,1,10,517805,1,10,1,1,31981
cas seul collage à 1 de Detected,-1,-1,0,10,-1,0,10,0,1,17990,0,10,0,2,17990,0,2,1,12,2399601,0,1,1,12,2399601,1,12,1,2,1095453,1,2,1,10,517805,1,10,1,1,31981
cas plusieurs collage à 1 de Grab,-1,-1,0,10,-1,0,10,0,1,17990,0,1,0,12,196880,0,12,1,12,2202721,1,12,1,2,1095453,1,2,1,10,517805,1,10,1,1,31981
cas plusieurs collage à 1 de Part_conveyor,-1,-1,0,10,-1,0,10,0,2,17990,0,2,0,12,196880,0,12,1,12,2202721,1,12,1,2,1095453,1,2,1,10,517805,1,10,1,1,31981
cas seul collage à 0 de Part_at_place,-1,-1,0,10,-1,0,10,0,1,17990,0,10,0,2,17990,0,1,0,12,196880,0,2,0,12,196880,0,12,1,12,2202721,1,12,1,2,1095453,1,2,1,1,549786
cas seul et NCT collage à 1 de Part_at_place,-1,-1,0,1,-1,-1,-1,0,2,-1,0,1,0,12,196880,0,2,0,12,196880,0,12,1,12,2202721,1,12,1,2,1095453,1,2,1,10,517805,1,10,1,1,31981
cas seul collage à 0 de Grab,-1,-1,0,10,-1,0,10,0,1,17990,0,10,0,2,17990,0,1,0,12,196880,0,2,0,12,196880,0,12,1,12,2202721,1,12,1,10,1613258,1,10,1,1,31981
